instruction     func code       meaning

beq             0 0000          equal
bez             1 0001          zero
blt             2 0010          less than
ble             3 0011          less than or equal to
bltu            4 0100          less than (unsigned)
bleu            5 0101          less than or equal to (unsigned)
bpe             6 0110          parity bit enabled (odd)
bne             8 1000          not equal
bnz             9 1001          not zero
bge             A 1010          greater than or equal to
bgt             B 1011          greater than
bgeu            C 1100          greater than or equal to (unsigned)
bgtu            D 1101          greater than (unsigned)
bpd             E 1110          parity bit disabled (even)
